,0
Team_ID,1610612753
Season,2003-04
FGM,"{'AVG': 35.41463414634146, 'STDEV': 5.192471329383914}"
FGA,"{'AVG': 82.53658536585365, 'STDEV': 7.947660766107002}"
FGP,"{'AVG': 0.429646341463414, 'STDEV': 0.052248308366784006}"
FG3M,"{'AVG': 5.23170731707317, 'STDEV': 2.554583295669511}"
FG3A,"{'AVG': 15.21951219512195, 'STDEV': 4.608163422609822}"
FG3P,"{'AVG': 0.34174883950780705, 'STDEV': 0.132202553743013}"
FTM,"{'AVG': 17.975609756097562, 'STDEV': 5.298440510738001}"
FTA,"{'AVG': 24.390243902439025, 'STDEV': 24.390243902439025}"
FTP,"{'AVG': 0.735646341463414, 'STDEV': 0.735646341463414}"
OREB,"{'AVG': 12.231707317073171, 'STDEV': 4.573943325283858}"
DREB,"{'AVG': 28.658536585365855, 'STDEV': 5.190731322187541}"
REB,"{'AVG': 40.890243902439025, 'STDEV': 6.9956002002686954}"
AST,"{'AVG': 19.317073170731707, 'STDEV': 4.5862867219368795}"
BLK,"{'AVG': 3.756097560975609, 'STDEV': 2.117306556002872}"
TOV,"{'AVG': 12.963414634146341, 'STDEV': 3.16011064797382}"
PF,"{'AVG': 21.26829268292683, 'STDEV': 4.416715668457183}"
