,0
Team_ID,1610612746
Season,1993-94
FGM,"{'AVG': 40.76829268292683, 'STDEV': 5.159909034722653}"
FGA,"{'AVG': 87.35365853658537, 'STDEV': 8.051335218182356}"
FGP,"{'AVG': 0.467512195121951, 'STDEV': 0.047237577608635006}"
FG3M,"{'AVG': 3.073170731707317, 'STDEV': 2.118586110190776}"
FG3A,"{'AVG': 10.134146341463415, 'STDEV': 4.247765411444641}"
FG3P,"{'AVG': 0.303416889331145, 'STDEV': 0.192049866762963}"
FTM,"{'AVG': 18.402439024390244, 'STDEV': 6.253610820854237}"
FTA,"{'AVG': 25.951219512195124, 'STDEV': 25.951219512195124}"
FTP,"{'AVG': 0.699012195121951, 'STDEV': 0.699012195121951}"
OREB,"{'AVG': 13.658536585365853, 'STDEV': 3.903842716533942}"
DREB,"{'AVG': 29.390243902439025, 'STDEV': 4.943523253915106}"
REB,"{'AVG': 43.048780487804876, 'STDEV': 6.699737306485297}"
AST,"{'AVG': 26.451219512195124, 'STDEV': 5.466288241247867}"
BLK,"{'AVG': 5.134146341463414, 'STDEV': 2.862107464581582}"
TOV,"{'AVG': 17.573170731707318, 'STDEV': 4.499740699812884}"
PF,"{'AVG': 21.573170731707318, 'STDEV': 4.634893123556045}"
