,0
Team_ID,1610612759
Season,1993-94
FGM,"{'AVG': 38.75609756097561, 'STDEV': 5.012480659387597}"
FGA,"{'AVG': 81.5609756097561, 'STDEV': 7.081705801650204}"
FGP,"{'AVG': 0.47610975609756, 'STDEV': 0.055234629971494004}"
FG3M,"{'AVG': 3.036585365853658, 'STDEV': 1.621195428096037}"
FG3A,"{'AVG': 8.707317073170731, 'STDEV': 3.57455964611804}"
FG3P,"{'AVG': 0.360903179993926, 'STDEV': 0.18422235170918302}"
FTM,"{'AVG': 19.475609756097562, 'STDEV': 5.345415965650341}"
FTA,"{'AVG': 26.23170731707317, 'STDEV': 26.23170731707317}"
FTP,"{'AVG': 0.744597560975609, 'STDEV': 0.744597560975609}"
OREB,"{'AVG': 14.5, 'STDEV': 4.608767811545809}"
DREB,"{'AVG': 31.670731707317074, 'STDEV': 5.472839509569119}"
REB,"{'AVG': 46.170731707317074, 'STDEV': 7.148866573461493}"
AST,"{'AVG': 23.121951219512194, 'STDEV': 4.874702254667987}"
BLK,"{'AVG': 5.487804878048781, 'STDEV': 2.851224135800008}"
TOV,"{'AVG': 13.926829268292684, 'STDEV': 4.345511343293024}"
PF,"{'AVG': 20.26829268292683, 'STDEV': 3.73521374762404}"
