,0
Team_ID,1610612757
Season,1993-94
FGM,"{'AVG': 41.109756097560975, 'STDEV': 5.393196668966147}"
FGA,"{'AVG': 90.57317073170732, 'STDEV': 7.3904016626921525}"
FGP,"{'AVG': 0.45432926829268205, 'STDEV': 0.050036296671947006}"
FG3M,"{'AVG': 3.317073170731707, 'STDEV': 2.176632628515482}"
FG3A,"{'AVG': 9.390243902439025, 'STDEV': 3.456095340337932}"
FG3P,"{'AVG': 0.344030765091419, 'STDEV': 0.16428313332099}"
FTM,"{'AVG': 21.71951219512195, 'STDEV': 5.685750849454421}"
FTA,"{'AVG': 29.21951219512195, 'STDEV': 29.21951219512195}"
FTP,"{'AVG': 0.7386829268292681, 'STDEV': 0.7386829268292681}"
OREB,"{'AVG': 15.878048780487806, 'STDEV': 4.17041385252049}"
DREB,"{'AVG': 30, 'STDEV': 5.237566110841189}"
REB,"{'AVG': 45.8780487804878, 'STDEV': 6.452849392442203}"
AST,"{'AVG': 25.24390243902439, 'STDEV': 4.676077747586695}"
BLK,"{'AVG': 4.987804878048781, 'STDEV': 2.491932179283527}"
TOV,"{'AVG': 14.353658536585366, 'STDEV': 4.205733744117394}"
PF,"{'AVG': 22.28048780487805, 'STDEV': 3.709428727918055}"
