,0
Team_ID,1610612752
Season,1993-94
FGM,"{'AVG': 37.78048780487805, 'STDEV': 5.573359007215149}"
FGA,"{'AVG': 82.13414634146342, 'STDEV': 8.423603221756059}"
FGP,"{'AVG': 0.46170731707317003, 'STDEV': 0.061917804496773005}"
FG3M,"{'AVG': 3.853658536585365, 'STDEV': 2.085351326172211}"
FG3A,"{'AVG': 11.073170731707316, 'STDEV': 4.093899369130229}"
FG3P,"{'AVG': 0.349782996578247, 'STDEV': 0.148438309114026}"
FTM,"{'AVG': 19.073170731707318, 'STDEV': 6.107636361237307}"
FTA,"{'AVG': 25.573170731707318, 'STDEV': 25.573170731707318}"
FTP,"{'AVG': 0.744695121951219, 'STDEV': 0.744695121951219}"
OREB,"{'AVG': 14.329268292682928, 'STDEV': 5.091883830123784}"
DREB,"{'AVG': 31, 'STDEV': 5.265775827143461}"
REB,"{'AVG': 45.329268292682926, 'STDEV': 7.757202750974282}"
AST,"{'AVG': 25.20731707317073, 'STDEV': 5.071678332475352}"
BLK,"{'AVG': 4.695121951219512, 'STDEV': 2.34488686920899}"
TOV,"{'AVG': 16.20731707317073, 'STDEV': 4.054376708054645}"
PF,"{'AVG': 24.402439024390244, 'STDEV': 4.215959554522775}"
