,0
Team_ID,1610612742
Season,1993-94
FGM,"{'AVG': 37.25609756097561, 'STDEV': 4.311371629040773}"
FGA,"{'AVG': 86.21951219512195, 'STDEV': 7.6868083091313615}"
FGP,"{'AVG': 0.43406097560975604, 'STDEV': 0.051720604476663004}"
FG3M,"{'AVG': 2.939024390243902, 'STDEV': 1.709433239233919}"
FG3A,"{'AVG': 9.426829268292684, 'STDEV': 3.27742178030939}"
FG3P,"{'AVG': 0.3031507648258, 'STDEV': 0.137891653076399}"
FTM,"{'AVG': 17.682926829268293, 'STDEV': 5.216020073004643}"
FTA,"{'AVG': 23.682926829268293, 'STDEV': 23.682926829268293}"
FTP,"{'AVG': 0.74490243902439, 'STDEV': 0.74490243902439}"
OREB,"{'AVG': 15.5, 'STDEV': 4.5765100725819945}"
DREB,"{'AVG': 26.21951219512195, 'STDEV': 4.6455192542733865}"
REB,"{'AVG': 41.71951219512195, 'STDEV': 6.293783706114758}"
AST,"{'AVG': 19.865853658536587, 'STDEV': 4.482509755339618}"
BLK,"{'AVG': 3.6463414634146343, 'STDEV': 2.014588468342375}"
TOV,"{'AVG': 16.195121951219512, 'STDEV': 4.552679374952417}"
PF,"{'AVG': 24.475609756097562, 'STDEV': 3.913337780791521}"
