,0
Team_ID,1610612750
Season,2005-06
FGM,"{'AVG': 35.21951219512195, 'STDEV': 4.228137348540258}"
FGA,"{'AVG': 77.3170731707317, 'STDEV': 6.6590290486769295}"
FGP,"{'AVG': 0.45695121951219503, 'STDEV': 0.053900892692629}"
FG3M,"{'AVG': 3.780487804878048, 'STDEV': 2.066931824351279}"
FG3A,"{'AVG': 11.487804878048781, 'STDEV': 4.562985546466246}"
FG3P,"{'AVG': 0.326109810549892, 'STDEV': 0.13884488000591402}"
FTM,"{'AVG': 17.51219512195122, 'STDEV': 6.09238322773249}"
FTA,"{'AVG': 23.109756097560975, 'STDEV': 23.109756097560975}"
FTP,"{'AVG': 0.757573170731707, 'STDEV': 0.757573170731707}"
OREB,"{'AVG': 9.890243902439025, 'STDEV': 3.492517919962424}"
DREB,"{'AVG': 29.536585365853657, 'STDEV': 4.688296755531943}"
REB,"{'AVG': 39.426829268292686, 'STDEV': 5.801299317649448}"
AST,"{'AVG': 20.926829268292682, 'STDEV': 4.599464509370623}"
BLK,"{'AVG': 5.7439024390243905, 'STDEV': 2.571500861699714}"
TOV,"{'AVG': 13.731707317073171, 'STDEV': 3.803990044539831}"
PF,"{'AVG': 23.036585365853657, 'STDEV': 4.134901500465111}"
