,0
Team_ID,1610612745
Season,2005-06
FGM,"{'AVG': 33.02439024390244, 'STDEV': 4.634746945976336}"
FGA,"{'AVG': 76.2439024390244, 'STDEV': 6.832314243087057}"
FGP,"{'AVG': 0.433365853658536, 'STDEV': 0.048543352698774}"
FG3M,"{'AVG': 5.719512195121951, 'STDEV': 2.410237374939063}"
FG3A,"{'AVG': 17.24390243902439, 'STDEV': 4.609600758293301}"
FG3P,"{'AVG': 0.32836126844316404, 'STDEV': 0.115763393347539}"
FTM,"{'AVG': 18.317073170731707, 'STDEV': 6.15414755012049}"
FTA,"{'AVG': 24.146341463414632, 'STDEV': 24.146341463414632}"
FTP,"{'AVG': 0.7544756097560971, 'STDEV': 0.7544756097560971}"
OREB,"{'AVG': 10.353658536585366, 'STDEV': 3.308693939557868}"
DREB,"{'AVG': 31.28048780487805, 'STDEV': 4.927309611341902}"
REB,"{'AVG': 41.63414634146341, 'STDEV': 6.017489315099125}"
AST,"{'AVG': 19.26829268292683, 'STDEV': 4.708932359108787}"
BLK,"{'AVG': 3.902439024390244, 'STDEV': 2.158015526995715}"
TOV,"{'AVG': 13.670731707317072, 'STDEV': 3.266193760360337}"
PF,"{'AVG': 22.71951219512195, 'STDEV': 4.675321049896202}"
