,0
Team_ID,1610612765
Season,1998-99
FGM,"{'AVG': 33.2, 'STDEV': 5.771145679064045}"
FGA,"{'AVG': 74.32, 'STDEV': 7.086751076221495}"
FGP,"{'AVG': 0.44830000000000003, 'STDEV': 0.07496699954251901}"
FG3M,"{'AVG': 4.96, 'STDEV': 2.732719360278478}"
FG3A,"{'AVG': 13.58, 'STDEV': 4.38033639561798}"
FG3P,"{'AVG': 0.35655107997998003, 'STDEV': 0.15874360140986102}"
FTM,"{'AVG': 19, 'STDEV': 7.515969393123375}"
FTA,"{'AVG': 25.66, 'STDEV': 25.66}"
FTP,"{'AVG': 0.7427400000000001, 'STDEV': 0.7427400000000001}"
OREB,"{'AVG': 12.1, 'STDEV': 4.146550078199998}"
DREB,"{'AVG': 28.24, 'STDEV': 4.479249208225386}"
REB,"{'AVG': 40.34, 'STDEV': 5.468313174973781}"
AST,"{'AVG': 20.18, 'STDEV': 5.483518905943221}"
BLK,"{'AVG': 4.16, 'STDEV': 2.41052115628508}"
TOV,"{'AVG': 14.76, 'STDEV': 4.078615211173558}"
PF,"{'AVG': 22.78, 'STDEV': 4.920967218682414}"
