,0
Team_ID,1610612748
Season,1998-99
FGM,"{'AVG': 32.32, 'STDEV': 3.448986837330875}"
FGA,"{'AVG': 71.3, 'STDEV': 6.84299134971285}"
FGP,"{'AVG': 0.45484, 'STDEV': 0.042750992350339}"
FG3M,"{'AVG': 5.78, 'STDEV': 2.023232410711903}"
FG3A,"{'AVG': 16.08, 'STDEV': 3.75711569789206}"
FG3P,"{'AVG': 0.36299508602179803, 'STDEV': 0.111670525220093}"
FTM,"{'AVG': 18.56, 'STDEV': 6.188072793524587}"
FTA,"{'AVG': 25.24, 'STDEV': 25.24}"
FTP,"{'AVG': 0.7339800000000001, 'STDEV': 0.7339800000000001}"
OREB,"{'AVG': 10.06, 'STDEV': 3.012965181291259}"
DREB,"{'AVG': 30.24, 'STDEV': 5.204236892441875}"
REB,"{'AVG': 40.3, 'STDEV': 6.5473160103034225}"
AST,"{'AVG': 20.38, 'STDEV': 3.2756990218322333}"
BLK,"{'AVG': 6.08, 'STDEV': 2.919602992301018}"
TOV,"{'AVG': 14.14, 'STDEV': 4.261886139890149}"
PF,"{'AVG': 20.7, 'STDEV': 3.770183777256185}"
